Chiribiquete National Park	0.70061	-72.8054	2018
Chitwan National Park	27.5	84.33333	1984
Chogha Zanbil	32.00833	48.52083	1979
Chongoni Rock Art Area	-14.29333	34.27917	2006
Church of St. George	47.68917	9.08222	2000
Church of the Ascension, Kolomenskoye	55.66722	37.67083	1994
Church of the Nativity	31.70431	35.20758	2012
Church of the Redeemer	52.42464	13.09647	1999
Church of the Saviour at Berestove	50.43733	30.555	1990
Churches of Chiloé	-42.5	-73.76667	2000
Churches of the Pskov School of Architecture	57.8072	28.3286	2019
Château de Chambord	47.61611	1.51722	1981
Cidade Velha	14.91667	-23.60417	2009
Cilento and Vallo di Diano National Park with the Archeological Sites of Paestum and Velia, and the Certosa di Padula	40.28333	15.26667	1998
Citadel of Erbil	36.191	44.009	2014
Citadel of the Hồ Dynasty	20.07806	105.60472	2011
Citadel, Ancient City and Fortress Buildings of Derbent	42.05297	48.29719	2003
City of Graz – Historic Centre and Schloss Eggenberg	47.07417	15.39167	1999
City of Safranbolu	41.26	32.68972	1994
City of Vicenza and the Palladian Villas of the Veneto	45.55	11.55	1994
Cité de Carcassonne	43.20644	2.36379	1997
Ciudad Universitaria	19.33222	-99.18806	2007
Classical Gardens of Suzhou	31.32667	120.62556	1997
Classical Weimar	50.98333	11.31667	1998
Coiba	7.48	-81.79	2005
Colchic Rainforests and Wetlands	41.70222	41.95111	2021
Cologne Cathedral	50.94139	6.95833	1996
Colombian coffee growing axis	4.90263	-75.61701	2011
Colonial City of Santo Domingo	18.473	-69.883	1990
Comoé National Park	9.16361	-3.7725	1983
Convent of Christ	39.60364	-8.41926	1983
Copán	14.83796	-89.14244	1980
Cordouan Lighthouse	45.58632	-1.17333	2021
Cornwall and West Devon Mining Landscape	50.13611	-5.38361	2006
Cradle of Humankind	-25.96723	27.66244	1999
Crespi d'Adda	45.59667	9.53611	1995
Cueva de las Manos	-47.15	-70.66667	1999
Cultural Landscape of the Serra de Tramuntana	39.73083	2.69472	2011
Curonian Spit	55.27444	20.97083	2000
Cyrene	32.82304	21.85727	1982
Dacian Fortresses of the Orăștie Mountains	45.6231	23.3119	1999
Dambulla cave temple	7.85656	80.64834	1991
Danube Delta	45.2	29.5	1991
Darién National Park	7.73611	-77.54722	1981
Dasht-e Lut	30.26389	59.24111	2016
Dazu Rock Carvings	29.71333	105.70694	1999
Dead Cities	36.33417	36.84417	2011
Decorated Farmhouses of Hälsingland	61.70722	16.19583	2012
Deer Stone Monuments, the Heart of Bronze Age Culture	47.74278	101.22583	2023
Delos	37.39121	25.27122	1990
Delville Wood Cemetery	50.0239	2.81277	2023
Delville Wood South African National Memorial	50.02448	2.81268	2023
Descent of the Ganges	12.61667	80.19167	1984
Desembarco del Granma National Park	19.88333	-77.63333	1999
Dessau-Wörlitz Garden Realm	51.8636	12.2814	2000
Dholavira	23.88611	70.21667	2021
Dinosaur Provincial Park	50.7617	-111.485	1979
Discovery Coast Atlantic Forest Reserves	-16.44243	-39.06376	1999
Divriği Great Mosque and Hospital	39.37122	38.12158	1985
Dja Faunal Reserve	3.0167	12.9833	1987
Djemila	36.32056	5.73667	1982
Djerba	33.7837	10.8833	2023
Djoudj National Bird Sanctuary	16.35849	-16.2741	1981
Douaumont ossuary	49.20826	5.42367	2023
Dougga	36.42333	9.22028	1997
Doñana National Park	37.02	-6.44	1994
Drottningholm Palace	59.32169	17.88638	1991
Drottningholm Palace Theatre	59.32307	17.885	1991
Du Plateau Cemetery	49.73861	5.48083	2023
Duchess Anna Amalia Library	50.97861	11.33222	1998
Dud Corner Cemetery	50.46007	2.77122	2023
East Rennell	-11.68333	160.33333	1998
Ecbatana	34.8065	48.51625	2024
El Camino Real de Tierra Adentro	22.60806	-102.37917	2010
El Fuerte de Samaipata	-18.17836	-63.81899	1998
Elephanta Caves	18.96333	72.93139	1987
Ellora Caves	20.02639	75.17917	1983
Engelsberg Ironworks	59.96917	16.01028	1993
Ennedi Plateau	17.0	23.0	2016
Ephesus	37.92917	27.35944	2015
Episcopal City of Albi	43.9283	2.1425	2010
Essex Farm Cemetery	50.87072	2.87325	2023
Etna Park	37.76528	15.0	2013
Everglades National Park	25.3125	-80.6875	1979
Fagus Factory	51.9837	9.81256	2011
Fasil Ghebbi	12.60806	37.46972	1979
Fatehpur Sikri	27.09111	77.66111	1986
Faubourg d'Amiens Cemetery	50.2867	2.76057	2023
Ferapontov Monastery	59.95639	38.5675	2000
Fertö / Neusiedlersee Cultural Landscape	47.80056	16.73472	2001
First DCLI Cemetery, The Bluff	50.82097	2.913	2023
