ATM,-3.2531,-52.2539,M,Altamira Interstate Airport
ATQ,31.7096,74.7973,L,Sri Guru Ram Das Ji International Airport
ATW,44.2585,-88.5190,M,Appleton International Airport
ATY,44.9140,-97.1547,M,Watertown Regional Airport
ATZ,27.0460,31.0128,L,Asyut International Airport
AUA,12.5011,-70.0143,L,Queen Beatrix International Airport
AUC,7.0689,-70.7369,M,Santiago Perez Airport
AUG,44.3206,-69.7973,M,Augusta State Airport
AUH,24.4410,54.6492,L,Zayed International Airport
AUQ,-9.7688,-139.0110,M,Hiva Oa-Atuona Airport
AUR,44.8914,2.4219,M,Aurillac airport
AUS,30.1975,-97.6620,L,Austin Bergstrom International Airport
AUX,-7.2279,-48.2405,M,Araguaína Airport
AVA,26.2606,105.8733,M,Anshun Huangguoshu Airport
AVK,46.2503,102.8020,M,Arvaikheer Airport
AVL,35.4355,-82.5419,M,Asheville Regional Airport
AVN,43.9073,4.9018,M,Avignon Caumont airport
AVP,41.3371,-75.7242,M,Wilkes-Barre/Scranton International Airport
AVV,-38.0403,144.4672,L,Melbourne Avalon International Airport
AWA,7.1006,38.3965,L,Hawassa International Airport
AWK,19.2824,166.6366,M,Wake Island Airfield
AWZ,31.3364,48.7638,L,Qasem Soleimani International Airport
AXA,18.2048,-63.0538,M,Clayton J. Lloyd International Airport
AXD,40.8559,25.9563,M,Alexandroupoli Democritus Airport
AXF,38.7483,105.5842,M,Alxa Left Banner Bayanhot Airport
AXJ,32.4825,130.1590,M,Amakusa Airport
AXM,4.4528,-75.7664,M,El Eden Airport
AXP,22.4418,-73.9709,M,Spring Point Airport
AXR,-15.2483,-146.6170,M,Arutua Airport
AXT,39.6156,140.2190,M,Akita Airport
AXU,14.1468,38.7728,M,Axum Airport
AYJ,26.7477,82.1637,M,Maharshi Valmiki International Airport
AYP,-13.1548,-74.2044,M,Air Force Colonel Alfredo Mendivil Duarte Airport
AYQ,-25.1859,130.9770,M,Ayers Rock Connellan Airport
AYT,36.8987,30.8005,L,Antalya International Airport
AZA,33.3078,-111.6550,M,Mesa Gateway Airport
AZD,31.9049,54.2765,M,Shahid Sadooghi Airport
AZN,40.7277,72.2940,M,Andijan International Airport
AZO,42.2321,-85.5496,M,Kalamazoo/Battle Creek International Airport
AZR,27.8376,-0.1864,M,Touat-Cheikh Sidi Mohamed Belkebir Airport
AZS,19.2693,-69.7374,M,Samaná El Catey International Airport
BAH,26.2673,50.6376,L,Bahrain International Airport
BAL,37.9290,41.1166,M,Batman Airport
BAQ,10.8896,-74.7808,L,Ernesto Cortissoz International Airport
BAR,19.1410,110.4528,M,Qionghai Bo'ao Airport
BAV,40.5600,109.9970,L,Baotou Donghe International Airport
BAX,53.3613,83.5397,L,Barnaul Gherman Titov International Airport
BAY,47.6584,23.4644,M,Maramureș International Airport
BBA,-45.9160,-71.6895,M,Balmaceda Airport
BBI,20.2510,85.8147,L,Biju Patnaik International Airport
BBK,-17.8317,25.1662,L,Kasane International Airport
BBM,13.0956,103.2240,M,Battambang Airport
BBN,3.7346,115.4785,M,Bario Airport
BBO,10.3850,44.9367,M,Berbera Airport
BBQ,17.6212,-61.7983,M,Burton-Nibbs International Airport
BBU,44.5031,26.1029,L,Bucharest Băneasa Aurel Vlaicu International Airport
BCA,20.3653,-74.5062,M,Gustavo Rizo Airport
BCD,10.7762,123.0189,L,Bacolod-Silay International Airport
BCH,-8.4865,126.4000,M,Baucau Airport
BCI,-23.5663,145.3021,M,Barcaldine Airport
BCM,46.5219,26.9103,L,Bacău George Enescu International  Airport
BCN,41.2971,2.0785,L,Josep Tarradellas Barcelona-El Prat Airport
BCO,5.7497,36.5602,M,Jinka Airport
BCU,10.4828,9.7440,L,Sir Abubakar Tafawa Balewa Bauchi State International Airpor
BDA,32.3638,-64.6782,L,L.F. Wade International Airport
BDB,-24.9050,152.3226,M,Bundaberg Airport
BDH,26.5323,54.8248,M,Bandar Lengeh International Airport
BDJ,-3.4401,114.7612,L,Syamsudin Noor International Airport
BDL,41.9386,-72.6880,L,Bradley International Airport
BDO,-6.9006,107.5760,M,Husein Sastranegara International Airport
BDQ,22.3362,73.2263,L,Vadodara International Airport
BDS,40.6576,17.9470,L,Brindisi Airport
BDT,4.2527,20.9753,M,Gbadolite Airport
BDU,69.0558,18.5404,M,Bardufoss Airport
BEB,57.4811,-7.3628,M,Benbecula Airport
BED,42.4700,-71.2890,M,Laurence G Hanscom Field
BEF,11.9910,-83.7741,M,Bluefields Airport
BEG,44.8184,20.3091,L,Belgrade Nikola Tesla Airport
BEJ,2.1478,117.4307,M,Kalimarau Airport
BEK,28.4221,79.4508,M,Bareilly Air Force Station
BEL,-1.3793,-48.4762,L,Val de Cans/Júlio Cezar Ribeiro International Airport
BEM,32.4019,-6.3159,L,Beni Mellal Airport
BEN,32.0968,20.2695,L,Benina International Airport
BER,52.3617,13.5023,L,Berlin Brandenburg Airport
BES,48.4479,-4.4185,L,Brest Bretagne airport
BET,60.7798,-161.8380,M,Bethel Airport
BEU,-24.3461,139.4600,M,Bedourie Airport
BEW,-19.7964,34.9076,L,Beira International Airport
BEY,33.8198,35.4874,L,Beirut Rafic Hariri International Airport
BFD,41.8031,-78.6401,M,Bradford Regional Airport
BFF,41.8740,-103.5960,M,Western Neb. Rgnl/William B. Heilig Airport
BFI,47.5270,-122.2999,M,King County International Airport - Boeing Field
BFJ,27.2671,105.4721,M,Bijie Feixiong Airport
BFL,35.4336,-119.0570,M,Meadows Field
BFN,-29.0927,26.3024,L,Bram Fischer International Airport
BFS,54.6575,-6.2158,L,Belfast International Airport
BFV,15.2295,103.2530,M,Buri Ram Airport
BFY,33.1663,117.0583,M,Bengbu Tenghu Airport
BGA,7.1265,-73.1848,M,Palonegro Airport
BGC,41.8578,-6.7071,M,Bragança Airport
BGF,4.3985,18.5188,L,Bangui M'Poko International Airport
BGI,13.0747,-59.4910,L,Grantley Adams International Airport
BGM,42.2087,-75.9798,M,Greater Binghamton/Edwin A Link field
BGO,60.2934,5.2181,L,Bergen Airport  Flesland
BGR,44.8064,-68.8267,M,Bangor International Airport
BGW,33.2625,44.2346,L,Baghdad International Airport / New Al Muthana Air Base
BGY,45.6694,9.7089,L,Il Caravaggio International Airport
BHB,44.4500,-68.3615,M,Hancock County-Bar Harbor Airport
BHD,54.6181,-5.8725,M,George Best Belfast City Airport
BHE,-41.5183,173.8700,M,Woodbourne Airport
BHH,19.9844,42.6209,M,Bisha Airport
BHI,-38.7250,-62.1693,M,Comandante Espora Airport
BHJ,23.2878,69.6702,M,Bhuj Airport
BHK,39.7753,64.4823,L,Bukhara International Airport
BHM,33.5629,-86.7507,L,Birmingham-Shuttlesworth International Airport
BHO,23.2875,77.3374,L,Raja Bhoj International Airport
BHQ,-32.0014,141.4720,M,Broken Hill Airport
BHS,-33.4068,149.6512,M,Bathurst Airport
BHU,21.7522,72.1852,M,Bhavnagar Airport
BHV,29.3481,71.7180,M,Bahawalpur Airport
BHX,52.4539,-1.7480,L,Birmingham Airport
BHY,21.5387,109.2937,M,Beihai Fucheng Airport
BIA,42.5527,9.4837,L,Bastia-Poretta International airport
BIH,37.3731,-118.3640,M,Eastern Sierra Regional Airport
BIK,-1.1900,136.1080,M,Frans Kaisiepo Airport
BIL,45.8089,-108.5412,M,Billings Logan International Airport
BIM,25.6999,-79.2647,M,South Bimini Airport
BIO,43.3011,-2.9106,L,Bilbao Airport
BIQ,43.4684,-1.5232,M,Biarritz Pays Basque airport
BIR,26.4815,87.2640,M,Biratnagar Airport
BIS,46.7727,-100.7469,M,Bismarck Municipal Airport
BJA,36.7125,5.0699,L,Soummam–Abane Ramdane Airport
BJB,37.4930,57.3082,M,Bojnord Airport
BJC,39.9088,-105.1170,M,Rocky Mountain Metropolitan Airport
BJF,70.6003,29.6926,M,Båtsfjord Airport
BJL,13.3380,-16.6522,L,Banjul International Airport
BJM,-3.3240,29.3185,L,Bujumbura Melchior Ndadaye International Airport
BJR,11.6081,37.3216,M,Bahir Dar Airport
BJV,37.2493,27.6640,L,Milas Bodrum International Airport
BJX,20.9927,-101.4803,L,Guanajuato International Airport
BJZ,38.8913,-6.8213,M,Badajoz Airport
BKG,36.5321,-93.2005,M,Branson Airport
BKI,5.9327,116.0493,L,Kota Kinabalu International Airport
BKK,13.6811,100.7470,L,Suvarnabhumi Airport
BKN,39.6811,54.2060,M,Balkanabat International Airport
BKO,12.5335,-7.9499,L,Modibo Keita International Airport
BKQ,-24.4317,145.4297,M,Blackall Airport
BKS,-3.8637,102.3390,M,Fatmawati Soekarno Airport
BKW,37.7873,-81.1242,M,Raleigh County Memorial Airport
BLA,10.1111,-64.6922,L,General José Antonio Anzoategui International Airport
BLD,35.9472,-114.8588,M,Boulder City Municipal Airport
BLE,60.4220,15.5152,M,Dala Airport
BLI,48.7928,-122.5380,M,Bellingham International Airport
BLJ,35.7521,6.3086,L,Batna Mostefa Ben Boulaid Airport
BLL,55.7403,9.1570,L,Billund Airport
BLQ,44.5354,11.2887,L,Bologna Guglielmo Marconi Airport
BLR,13.1979,77.7063,L,Kempegowda International Airport Bengaluru
BLV,38.5452,-89.8352,M,Scott AFB/Midamerica Airport
BLZ,-15.6772,34.9723,L,Chileka International Airport
BMA,59.3544,17.9417,M,Stockholm-Bromma Airport
BME,-17.9492,122.2283,L,Broome International Airport
BMI,40.4771,-88.9159,M,Central Illinois Regional Airport at Bloomington-Normal
BMU,-8.5372,118.6850,M,Sultan Muhammad Salahuddin Airport
BMV,12.6683,108.1200,M,Buon Ma Thuot Airport
BMW,21.3778,0.9270,M,Bordj Badji Mokhtar Airport
BNA,36.1245,-86.6782,L,Nashville International Airport
BND,27.2183,56.3778,L,Bandar Abbas International Airport
BNE,-27.3842,153.1170,L,Brisbane International Airport
BNI,6.3170,5.5995,M,Benin Airport
BNK,-28.8332,153.5615,M,Ballina Byron Gateway Airport
BNN,65.4611,12.2175,M,Brønnøysund Airport  Brønnøy
BNS,8.6150,-70.2142,M,Barinas Airport
BNX,44.9414,17.2975,L,Banja Luka International Airport
BOB,-16.4444,-151.7510,M,Bora Bora Airport
BOC,9.3408,-82.2508,M,Bocas del Toro "Isla Colón" International Airport
BOD,44.8287,-0.7154,L,Bordeaux–Mérignac Airport
BOG,4.7016,-74.1469,L,El Dorado International Airport
BOH,50.7805,-1.8396,M,Bournemouth Airport
BOI,43.5644,-116.2230,L,Boise Air Terminal/Gowen Field
BOJ,42.5699,27.5152,L,Burgas Airport
BOM,19.0887,72.8679,L,Chhatrapati Shivaji Maharaj International Airport
BON,12.1310,-68.2685,L,Flamingo International Airport
BOO,67.2692,14.3653,L,Bodø Airport
BOR,20.3240,100.1654,M,Bokeo International Airport
BOS,42.3620,-71.0079,L,Boston Logan International Airport
BOY,11.1601,-4.3310,L,Bobo Dioulasso Airport
BPE,39.6664,119.0614,M,Qinhuangdao Beidaihe Airport
BPL,44.8955,82.3001,M,Bole Alashankou Airport
BPN,-1.2683,116.8945,L,Sultan Aji Muhammad Sulaiman Sepinggan International Airport
BPS,-16.4384,-39.0806,L,Porto Seguro International Airport
BPT,29.9508,-94.0207,M,Jack Brooks Regional Airport
BPX,30.5536,97.1083,M,Qamdo Bangda Airport
BPY,-16.7445,44.4825,M,Besalampy Airport
BQK,31.2588,-81.4665,M,Brunswick Golden Isles Airport
BQL,-22.9133,139.9000,M,Boulia Airport
BQN,18.4949,-67.1294,M,Rafael Hernández International Airport
BQS,50.4254,127.4120,M,Ignatyevo Airport
BQT,52.1081,23.8968,L,Brest International Airport
BQU,12.9884,-61.2620,M,J F Mitchell Airport
BRC,-41.1512,-71.1575,L,Teniente Luis Candelaria International Airport
BRD,46.4029,-94.1297,M,Brainerd Lakes Regional Airport
BRE,53.0468,8.7893,L,Bremen Airport
BRI,41.1389,16.7606,L,Bari Karol Wojtyła International Airport
BRK,-30.0392,145.9520,M,Bourke Airport
BRL,40.7832,-91.1255,M,Southeast Iowa Regional Airport
BRM,10.0427,-69.3586,L,Jacinto Lara International Airport
BRN,46.9127,7.4988,M,Bern Airport
BRO,25.9072,-97.4252,M,Brownsville South Padre Island International Airport
BRQ,49.1513,16.6940,M,Brno-Tuřany Airport
BRR,57.0228,-7.4431,M,Barra Airport
BRS,51.3823,-2.7165,L,Bristol Airport
BRU,50.9014,4.4844,L,Brussels Airport
BRW,71.2854,-156.7660,M,Wiley Post Will Rogers Memorial Airport
BRX,18.2515,-71.1204,M,Maria Montez International Airport
BSA,11.2752,49.1392,L,Bender Qassim International Airport
BSB,-15.8692,-47.9208,L,Presidente Juscelino Kubitschek International Airport
BSC,6.2029,-77.3947,M,José Celestino Mutis Airport
BSD,25.0533,99.1683,M,Baoshan Yunrui Airport
BSG,1.9055,9.8057,L,Bata International Airport
BSK,34.7932,5.7389,L,Biskra - Mohamed Khider Airport
BSL,47.6007,7.5211,L,EuroAirport Basel–Mulhouse–Freiburg
BSO,20.4513,121.9800,M,Basco Airport
BSR,30.5491,47.6621,L,Basra International Airport
BSZ,43.0613,74.4776,L,Manas International Airport
BTC,7.7051,81.6772,M,Batticaloa International Airport
BTH,1.1210,104.1190,L,Hang Nadim International Airport
BTI,70.1340,-143.5820,M,Barter Island Long Range Radar Station Airport
BTJ,5.5251,95.4200,L,Sultan Iskandar Muda International Airport
BTK,56.3696,101.7018,M,Bratsk Airport
BTM,45.9548,-112.4970,M,Bert Mooney Airport
BTR,30.5332,-91.1496,M,Baton Rouge Metropolitan Airport
BTS,48.1702,17.2127,L,M. R. Štefánik Airport
BTU,3.1239,113.0200,M,Bintulu Airport
BTV,44.4719,-73.1533,M,Patrick Leahy Burlington International Airport
BUA,-5.4223,154.6727,M,Buka Airport
BUD,47.4302,19.2624,L,Budapest Liszt Ferenc International Airport
BUF,42.9405,-78.7322,L,Buffalo Niagara International Airport
BUN,3.8196,-76.9898,M,Gerardo Tobar López Airport
BUQ,-20.0163,28.6229,L,Joshua Mqabuko Nkomo International Airport
BUR,34.2028,-118.3581,L,Hollywood Burbank/Bob Hope Airport
BUS,41.6094,41.6003,L,Alexander Kartveli Batumi International Airport
BUX,1.5657,30.2207,M,Bunia Airport
BUZ,28.9448,50.8346,M,Bushehr Airport
BVA,49.4544,2.1128,L,Beauvais-Tillé airport
BVB,2.8462,-60.6906,L,Atlas Brasil Cantanhede International Airport
BVC,16.1365,-22.8889,L,Aristides Pereira International Airport
BVE,45.0397,1.4856,M,Brive Souillac airport
BVG,70.8715,29.0341,M,Berlevåg Airport
BVH,-12.6944,-60.0983,M,Brigadeiro Camarão Airport
BVI,-25.8975,139.3480,M,Birdsville Airport
BVJ,70.3153,68.3336,M,Bovanenkovo Airport
BWA,27.5046,83.4104,L,Gautam Buddha International Airport
BWI,39.1754,-76.6683,L,Baltimore/Washington International Thurgood Marshall Airport
BWK,43.2845,16.6784,M,Brač Airport
BWN,4.9442,114.9280,L,Brunei International Airport
BWO,51.8583,47.7456,M,Balakovo Airport
BWT,-40.9970,145.7260,M,Wynyard Airport
BXH,46.8942,75.0045,M,Balkhash Airport
BXR,29.0842,58.4500,M,Bam Airport
BXU,8.9515,125.4788,M,Bancasi Airport
BXY,45.6220,63.2108,L,Baikonur Krayniy International Airport
BYK,7.7388,-5.0737,M,Bouaké Airport
BYM,20.3964,-76.6214,M,Carlos Manuel de Cespedes Airport
BYN,46.1633,100.7040,M,Bayankhongor Airport
BZE,17.5400,-88.3036,L,Philip S. W. Goldson International Airport
BZG,53.0968,17.9777,M,Ignacy Jan Paderewski Bydgoszcz Airport
BZI,39.6193,27.9260,M,Balıkesir Airport
BZK,53.2144,34.1760,M,Bryansk International Airport
BZL,22.8010,90.3012,M,Barisal Airport
BZN,45.7789,-111.1537,M,Bozeman Yellowstone International Airport
BZO,46.4592,11.3261,M,Bolzano Airport
BZR,43.3235,3.3539,M,Béziers Vias airport
BZV,-4.2517,15.2530,L,Maya-Maya International Airport
BZX,31.7384,106.6449,M,Bazhong Enyang Airport
CAB,-5.5984,12.1881,M,Cabinda Airport
CAC,-25.0003,-53.5012,M,Coronel Adalberto Mendes da Silva Airport
CAE,33.9382,-81.1230,M,Columbia Metropolitan Airport
CAG,39.2515,9.0543,L,Cagliari Elmas Airport
CAH,9.1777,105.1778,M,Cà Mau Airport
CAI,30.1115,31.3967,L,Cairo International Airport
CAJ,6.2320,-62.8548,M,Canaima Airport
CAK,40.9161,-81.4422,M,Akron Canton Regional Airport
CAL,55.4372,-5.6864,M,Campbeltown Airport
CAN,23.3924,113.2990,L,Guangzhou Baiyun International Airport
CAP,19.7255,-72.2007,L,Cap Haitien International Airport
CAT,38.7250,-9.3552,M,Cascais Airport
CAW,-21.6983,-41.3017,M,Bartolomeu Lisandro Airport
CAY,4.8200,-52.3613,L,Cayenne – Félix Eboué Airport
CAZ,-31.5383,145.7940,M,Cobar Airport
CBB,-17.4211,-66.1771,L,Jorge Wilsterman International Airport
CBH,31.6457,-2.2699,M,Béchar Boudghene Ben Ali Lotfi Airport
CBO,7.1648,124.2099,M,Cotabato (Awang) Airport
CBQ,4.9760,8.3472,M,Margaret Ekpo International Airport
CBR,-35.3069,149.1950,M,Canberra Airport
CBT,-12.4792,13.4869,M,Catumbela Airport
CCC,22.4610,-78.3284,M,Jardines Del Rey Airport
CCE,30.0647,31.8400,M,Capital International Airport
CCF,43.2160,2.3063,M,Carcassonne Salvaza Airport
CCJ,11.1360,75.9552,L,Calicut International Airport
CCK,-12.1922,96.8341,L,Cocos (Keeling) Islands Airport
CCM,-28.7257,-49.4245,M,Forquilhinha - Criciúma  Airport
CCP,-36.7724,-73.0628,L,Carriel Sur International Airport
CCR,37.9897,-122.0570,M,Buchanan Field
CCS,10.6022,-66.9912,L,Maiquetía Simón Bolívar International Airport
CCU,22.6540,88.4476,L,Netaji Subhash Chandra Bose International Airport
CCZ,25.4171,-77.8809,M,Chub Cay Airport
CDB,55.2079,-162.7250,M,Cold Bay Airport
CDC,37.7010,-113.0990,M,Cedar City Regional Airport
CDE,41.1225,118.0739,M,Chengde Puning Airport
CDG,49.0090,2.5541,L,Charles de Gaulle International Airport
CDP,14.5132,78.7692,M,Kadapa Airport
CDR,42.8376,-103.0950,M,Chadron Municipal Airport
CDT,40.2139,0.0733,M,Castellón-Costa Azahar Airport
CDV,60.4918,-145.4780,M,Merle K (Mudhole) Smith Airport
CEB,10.3093,123.9797,L,Mactan Cebu International Airport
CEC,41.7789,-124.2364,M,Jack Mc Namara Field Airport
CED,-32.1306,133.7100,M,Ceduna Airport
CEE,59.2736,38.0158,M,Cherepovets Airport
CEI,19.9523,99.8829,L,Mae Fah Luang - Chiang Rai International Airport
CEK,55.3031,61.5049,L,Kurchatov Chelyabinsk International Airport
CEN,27.3926,-109.8330,M,Ciudad Obregón International Airport
CEZ,37.3030,-108.6280,M,Cortez Municipal Airport
